metric_id,pillar,category,metric_name,unit,value_2023,value_2024,target_2024,status,data_source,confidence,business_unit,framework_tags
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Corporate / HQ,tCO2e,8429.114,9836.513,8465.947,Not Met,ERP emissions module / utility bills (BU: HQ),0.84,HQ,GRI 303
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Refinery — Hazira,tCO2e,8524.906,6705.065,7207.073,Met,ERP emissions module / utility bills (BU: REF-HZR),0.9,REF-HZR,CSRD ESRS G1
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Jamnagar,tCO2e,4067.197,4073.249,3966.161,On Track,ERP emissions module / utility bills (BU: PCH-JMG),0.94,PCH-JMG,SASB-RT-CH
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Vadodara,tCO2e,7392.25,6608.858,7063.239,Met,ERP emissions module / utility bills (BU: PCH-VDR),0.95,PCH-VDR,GRI 303
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Paradip,tCO2e,6073.389,5115.043,5490.568,Met,ERP emissions module / utility bills (BU: PCH-PDP),0.87,PCH-PDP,SOX 302
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Haldia,tCO2e,4995.783,3857.716,4472.327,Met,ERP emissions module / utility bills (BU: PCH-HLD),0.95,PCH-HLD,CSRD ESRS E1
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Gandhar,tCO2e,4763.426,3833.724,4338.406,Met,ERP emissions module / utility bills (BU: PCH-GDR),0.91,PCH-GDR,SOX 404
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Dahej,tCO2e,5179.649,5760.489,4976.476,Not Met,ERP emissions module / utility bills (BU: PCH-DHJ),0.85,PCH-DHJ,BRSR Principal 6
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Petchem — Nagothane,tCO2e,6985.781,6547.029,5738.965,Not Met,ERP emissions module / utility bills (BU: PCH-NGT),0.78,PCH-NGT,GRI 305
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Logistics — Visakhapatnam,tCO2e,3409.481,2833.088,3152.094,Met,ERP emissions module / utility bills (BU: LOG-VSP),0.83,LOG-VSP,CSRD ESRS E1
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Logistics — Mangalore,tCO2e,9317.81,8549.239,7904.015,Not Met,ERP emissions module / utility bills (BU: LOG-MNG),0.81,LOG-MNG,SASB-RT-CH
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Logistics — Kochi,tCO2e,12496.135,11202.249,11135.152,On Track,ERP emissions module / utility bills (BU: LOG-KCH),0.78,LOG-KCH,SOX 302
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Logistics — Nashik,tCO2e,3757.079,3580.958,3113.318,Not Met,ERP emissions module / utility bills (BU: LOG-NSK),0.86,LOG-NSK,SEC-CLIM SX-14
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Logistics — Kandla,tCO2e,8944.358,7424.735,7903.706,Met,ERP emissions module / utility bills (BU: LOG-KND),0.78,LOG-KND,CSRD ESRS G1
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Logistics — Tuticorin,tCO2e,2646.28,2703.188,2416.225,Not Met,ERP emissions module / utility bills (BU: LOG-TUT),0.86,LOG-TUT,CSRD ESRS E1
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Distribution — Kolkata,tCO2e,6058.946,5913.806,5759.704,On Track,ERP emissions module / utility bills (BU: DST-KOL),0.92,DST-KOL,TCFD-Metrics
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Distribution — Hyderabad,tCO2e,7169.84,7478.55,7356.061,On Track,ERP emissions module / utility bills (BU: DST-HYD),0.88,DST-HYD,BRSR Principal 6
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Distribution — Lucknow,tCO2e,3086.705,2564.149,2568.472,Met,ERP emissions module / utility bills (BU: DST-LKO),0.96,DST-LKO,TCFD-Metrics
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Distribution — Indore,tCO2e,9912.643,8635.597,9501.875,Met,ERP emissions module / utility bills (BU: DST-IND),0.96,DST-IND,IFRS S2
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — R&D — Pune,tCO2e,7061.933,7260.177,7009.955,On Track,ERP emissions module / utility bills (BU: RND-PUN),0.87,RND-PUN,BRSR Principal 6
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — R&D — Bengaluru,tCO2e,5300.561,4564.761,4661.882,Met,ERP emissions module / utility bills (BU: RND-BLR),0.84,RND-BLR,BRSR Principal 6
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — R&D — Surat Polymer Lab,tCO2e,6594.112,6089.516,6569.954,Met,ERP emissions module / utility bills (BU: RND-SRT),0.85,RND-SRT,BRSR Principal 5
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — R&D — Hyderabad Catalysis,tCO2e,2789.87,2404.236,2438.288,Met,ERP emissions module / utility bills (BU: RND-HYD),0.91,RND-HYD,CSRD-DM
E01,Environmental,Climate,Total GHG Emissions (Scope 1+2) — Office — Chennai,tCO2e,9662.411,10405.151,9311.437,Not Met,ERP emissions module / utility bills (BU: OFC-CHN),0.93,OFC-CHN,CSRD ESRS S1
