control_id,process,esg_metric_linked,control_owner,test_date,deficiency_flag,remediation_status,sox_section,control_type,frequency,tester,evidence_doc_id,control_objective,business_unit,grc_tool
ICFR-F-00001,Revenue Recognition,,EHS,2021-06-18,None,Not Applicable,302,Corrective,Annual,Self-test (Process Owner),AUD-FY21-Q1-000001,Ensure accuracy of recorded amounts and disclosures,REG-WST,ServiceNow GRC
ICFR-F-00002,Revenue Recognition,,EHS,2021-09-23,None,Not Applicable,302,Corrective,Annual,Independent — PwC,AUD-FY21-Q2-000002,Ensure completeness of recorded transactions in the period,BIZ-AGR,AuditBoard
ICFR-F-00003,Revenue Recognition,,EHS,2021-12-15,Deficiency,Open,302,Corrective,Annual,Independent — PwC,AUD-FY21-Q3-000003,Ensure rights & obligations are properly recognised,FW-IFRS,ServiceNow GRC
ICFR-F-00004,Revenue Recognition,,EHS,2022-03-10,None,Not Applicable,302,Corrective,Annual,Self-test (Process Owner),AUD-FY21-Q4-000004,Ensure completeness of recorded transactions in the period,PCH-GDR,AuditBoard
ICFR-F-00005,Revenue Recognition,,EHS,2022-06-28,Significant,Closed,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY22-Q1-000005,Ensure ESG data lineage and source traceability,PJT-DIG,Workiva
ICFR-F-00006,Revenue Recognition,,EHS,2022-09-07,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY22-Q2-000006,Ensure accuracy of recorded amounts and disclosures,PJT-BIO,ServiceNow GRC
ICFR-F-00007,Revenue Recognition,,EHS,2022-12-21,Material,Open,302,Corrective,Annual,Independent — PwC,AUD-FY22-Q3-000007,Ensure ESG metric calculation conforms to GHG Protocol,MKT-B2B,MetricStream
ICFR-F-00008,Revenue Recognition,,EHS,2023-03-14,None,Not Applicable,302,Corrective,Annual,Independent — Deloitte,AUD-FY22-Q4-000008,Ensure existence of underlying assets and obligations,PJT-DIG,Workiva
ICFR-F-00009,Revenue Recognition,,EHS,2023-06-17,Deficiency,Open,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY23-Q1-000009,Ensure accuracy of recorded amounts and disclosures,RSK-TRN,Workiva
ICFR-F-00010,Revenue Recognition,,EHS,2023-09-15,None,Not Applicable,302,Corrective,Annual,Internal Audit (in-house),AUD-FY23-Q2-000010,Ensure ESG metric calculation conforms to GHG Protocol,DST-KOL,AuditBoard
ICFR-F-00011,Revenue Recognition,,EHS,2023-12-25,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY23-Q3-000011,Ensure existence of underlying assets and obligations,MKT-B2B,ServiceNow GRC
ICFR-F-00012,Revenue Recognition,,EHS,2024-03-07,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY23-Q4-000012,Ensure existence of underlying assets and obligations,PJT-DIG,Workiva
ICFR-F-00013,Revenue Recognition,,EHS,2024-06-11,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — EY),AUD-FY24-Q1-000013,Ensure accuracy of recorded amounts and disclosures,OFC-CMB,OneTrust
ICFR-F-00014,Revenue Recognition,,EHS,2024-09-25,None,Not Applicable,302,Corrective,Annual,Independent — Deloitte,AUD-FY24-Q2-000014,Ensure proper cut-off of period-end transactions,PCH-NGT,AuditBoard
ICFR-F-00015,Revenue Recognition,,EHS,2024-12-24,Deficiency,In Progress,302,Corrective,Annual,Independent — Deloitte,AUD-FY24-Q3-000015,Ensure accuracy of recorded amounts and disclosures,FW-IFRS,ServiceNow GRC
ICFR-F-00016,Revenue Recognition,,EHS,2025-03-11,Deficiency,In Progress,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY24-Q4-000016,Ensure accuracy of recorded amounts and disclosures,RND-BLR,OneTrust
ICFR-F-00017,Revenue Recognition,,EHS,2025-06-24,None,Not Applicable,302,Corrective,Annual,Internal Audit (co-source — KPMG),AUD-FY25-Q1-000017,Ensure completeness of recorded transactions in the period,RND-SRT,Workiva
ICFR-F-00018,Revenue Recognition,,EHS,2025-09-20,Material,In Progress,302,Corrective,Annual,Independent — Deloitte,AUD-FY25-Q2-000018,Ensure proper cut-off of period-end transactions,LOG-TUT,ServiceNow GRC
ICFR-F-00019,Revenue Recognition,,HR Operations,2021-06-17,None,Not Applicable,302,Corrective,Weekly,Internal Audit (co-source — EY),AUD-FY21-Q1-000019,Ensure ESG metric calculation conforms to GHG Protocol,HQ,AuditBoard
ICFR-F-00020,Revenue Recognition,,HR Operations,2021-09-14,None,Not Applicable,302,Corrective,Weekly,Independent — PwC,AUD-FY21-Q2-000020,Ensure timely and accurate climate disclosure filing,OFC-CHN,OneTrust
ICFR-F-00021,Revenue Recognition,,HR Operations,2021-12-20,None,Not Applicable,302,Corrective,Weekly,Internal Audit (in-house),AUD-FY21-Q3-000021,Ensure rights & obligations are properly recognised,PJT-TAX,ServiceNow GRC
ICFR-F-00022,Revenue Recognition,,HR Operations,2022-03-06,Significant,Closed,302,Corrective,Weekly,Internal Audit (co-source — EY),AUD-FY21-Q4-000022,Ensure accuracy of recorded amounts and disclosures,RSK-REP,ServiceNow GRC
ICFR-F-00023,Revenue Recognition,,HR Operations,2022-06-15,None,Not Applicable,302,Corrective,Weekly,Internal Audit (co-source — KPMG),AUD-FY22-Q1-000023,Ensure timely and accurate climate disclosure filing,REF-HZR,Workiva
