year,quarter,energy_source,consumption_mwh,cost_inr_lakhs,location,renewable,facility_type,tariff_inr_per_kwh,contract_id,supplier,peak_demand_kw,load_factor_pct,meter_id
2017,Q1,Grid Electricity,1639.254,118.2,Mumbai HQ,No,Office,7.2,DIS-2017-2003,DISCOM HT-Cat-A,1189.6,82.5,MTR-027574
2017,Q1,Diesel Generators,238.217,23.67,Mumbai HQ,No,Office,9.5,ON--2017-7502,On-site fuel,163.4,60.8,MTR-017984
2017,Q1,Natural Gas,781.513,45.75,Mumbai HQ,No,Office,5.8,GAI-2017-5556,GAIL APM,879.6,55.9,MTR-001365
2017,Q1,Coal,261.28,11.79,Mumbai HQ,No,Office,4.2,COA-2017-7252,Coal India e-auction,246.8,56.9,MTR-908262
2017,Q1,Furnace Oil,168.681,10.15,Mumbai HQ,No,Office,6.1,IOC-2017-8410,IOCL bulk supply,150.0,79.5,MTR-701777
2017,Q1,Solar (rooftop+OPEN),497.826,19.73,Mumbai HQ,Yes,Office,3.9,TAT-2017-2460,Tata Power Solar PPA,513.6,50.1,MTR-794044
2017,Q1,Wind PPA,204.131,9.56,Mumbai HQ,Yes,Office,4.4,REN-2017-8018,ReNew Power PPA-2031,135.0,50.8,MTR-108497
2017,Q1,Biomass,142.468,7.76,Mumbai HQ,Yes,Office,5.5,PEL-2017-1546,Pellet Plant — local,165.0,69.2,MTR-244012
2017,Q1,Green Hydrogen Pilot,46.805,8.43,Mumbai HQ,Yes,Office,18.0,L&T-2017-5078,L&T Hydrogen Pilot,31.7,82.5,MTR-806727
2017,Q1,Grid Electricity,19558.335,1346.28,Hazira Refinery,No,Refinery,7.2,DIS-2017-7672,DISCOM HT-Cat-A,21730.6,81.7,MTR-537210
2017,Q1,Diesel Generators,2252.859,214.74,Hazira Refinery,No,Refinery,9.5,ON--2017-8439,On-site fuel,2460.9,55.0,MTR-540746
2017,Q1,Natural Gas,7284.6,444.79,Hazira Refinery,No,Refinery,5.8,GAI-2017-4119,GAIL APM,8296.6,72.2,MTR-628076
2017,Q1,Coal,2695.804,111.06,Hazira Refinery,No,Refinery,4.2,COA-2017-6402,Coal India e-auction,2335.3,60.7,MTR-370868
2017,Q1,Furnace Oil,2034.759,126.99,Hazira Refinery,No,Refinery,6.1,IOC-2017-3568,IOCL bulk supply,1739.0,79.3,MTR-692795
2017,Q1,Solar (rooftop+OPEN),5939.528,224.77,Hazira Refinery,Yes,Refinery,3.9,TAT-2017-1610,Tata Power Solar PPA,4752.1,78.9,MTR-881679
2017,Q1,Wind PPA,2198.08,103.03,Hazira Refinery,Yes,Refinery,4.4,REN-2017-3205,ReNew Power PPA-2031,2209.0,85.4,MTR-207378
2017,Q1,Biomass,1511.509,88.66,Hazira Refinery,Yes,Refinery,5.5,PEL-2017-8129,Pellet Plant — local,1360.6,75.9,MTR-617300
