risk_id,category,scenario,time_horizon,likelihood,financial_impact_inr_crores,mitigation,status,owner,affected_business_unit,risk_description
CR-00001,Physical-Acute,NGFS-NetZero2050,Short (0-2 yr),Possible,16.1,Vendor diversification programme,Mitigating,CRO Office,REG-WST,"Cyclone disruption to Hazira, Paradip refineries"
CR-00002,Physical-Acute,NGFS-NetZero2050,Short (0-2 yr),Possible,0.98,Vendor diversification programme,Closed,CRO Office,FNC-HRM,"Cyclone disruption to Hazira, Paradip refineries"
CR-00003,Physical-Acute,NGFS-NetZero2050,Short (0-2 yr),Likely,46.45,Customer transition partnership,Mitigating,Strategy & Planning,OFC-DLH,"Cyclone disruption to Hazira, Paradip refineries"
CR-00004,Physical-Acute,NGFS-NetZero2050,Short (0-2 yr),Almost Certain,30.6,Engineering controls — process,Mitigating,EHS Director,RND-PUN,"Cyclone disruption to Hazira, Paradip refineries"
CR-00005,Physical-Acute,NGFS-NetZero2050,Short (0-2 yr),Possible,25.59,Hedging via carbon market,Closed,Group HR,LOG-TUT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00006,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Possible,4.29,PPA conversion to renewables,Closed,Legal & Compliance,PJT-LIV,"Cyclone disruption to Hazira, Paradip refineries"
CR-00007,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Rare,5.45,Vendor diversification programme,Open,Sustainability — Climate,OFC-CHN,"Cyclone disruption to Hazira, Paradip refineries"
CR-00008,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Likely,2.5,Insurance coverage expanded,Open,Strategy & Planning,PCH-NGT,"Cyclone disruption to Hazira, Paradip refineries"
CR-00009,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Likely,0.5,Engineering controls — process,Open,Strategy & Planning,PJT-CIRC,"Cyclone disruption to Hazira, Paradip refineries"
CR-00010,Physical-Acute,NGFS-NetZero2050,Medium (2-5 yr),Almost Certain,0.7,Insurance coverage expanded,Closed,Treasury,RSK-CYB,"Cyclone disruption to Hazira, Paradip refineries"
