supplier_id,supplier_name,country,sector,tier,esg_score,risk_rating,emission_contribution_tco2e,audit_status,last_audit_date,key_risk_factors,annual_spend_inr_crores,scope3_category,single_source_flag,emission_factor_source
SUP-00001,Astra Enterprises SA,Saudi Arabia,Catering & Facilities,Tier 2,34.9,Medium,415.8,Action Plan,2021-03-27,"Data security, Waste disposal",22.33,Cat 6: Business Travel,No,Industry Average (IEA)
SUP-00002,Cygnus Distributors Inc,UAE,Manufacturing,Tier 1,61.4,High,273.2,Action Plan,2024-09-12,"Forced labor risk, Tax transparency, Air emissions",11.62,Cat 1: Purchased Goods & Services,No,Supplier-reported (CDP)
SUP-00003,Orion Holdings LLP,Germany,Industrial Equipment,Tier 1,84.8,Low,66.3,Pending,2024-10-28,Worker safety,2.97,Cat 2: Capital Goods,No,USEEIO v2.0
SUP-00004,Juno Group Co,India,Industrial Equipment,Tier 1,94.8,Medium,40.4,Action Plan,2024-03-16,"Biodiversity impact, Air emissions",1.72,Cat 2: Capital Goods,No,EXIOBASE v3.8
SUP-00005,Beacon Services Inc,China,Electronics,Tier 2,54.1,Medium,494.2,Compliant,2023-09-05,"Data security, Energy intensity",22.21,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00006,Granite Distributors GmbH,Japan,Mining,Tier 1,73.1,High,1509.7,Action Plan,2023-09-02,"Labor practices, Ethical sourcing, Data security, Conflict minerals",12.34,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00007,Indus Manufacturing Co,United Kingdom,Construction,Tier 1,89.2,Medium,2422.9,Compliant,2021-06-05,Forced labor risk,34.99,Cat 2: Capital Goods,No,Supplier-reported (EcoVadis)
SUP-00008,Wolfram Components SA,Spain,Manufacturing,Tier 2,73.6,High,60.6,Action Plan,2022-12-11,"Forced labor risk, Air emissions, Conflict minerals, Water stress",3.07,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00009,Eclipse Systems Corp,France,Chemicals,Tier 1,75.8,Low,6151.1,Pending,2024-09-08,,59.31,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00010,Apex Resources SA,Indonesia,Manufacturing,Tier 3,67.5,Medium,171.1,Compliant,2022-10-25,Worker safety,7.85,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00011,Solstice Polymers Pvt Ltd,Australia,Electronics,Tier 1,66.4,Medium,457.4,Compliant,2022-04-02,Bribery & corruption,16.17,Cat 1: Purchased Goods & Services,No,Internal Engineering Estimate
SUP-00012,Falcon Technologies Pvt Ltd,Germany,Catering & Facilities,Tier 2,62.9,Low,676.7,Compliant,2024-05-12,"Tax transparency, Diversity gap",43.01,Cat 6: Business Travel,No,USEEIO v2.0
SUP-00013,Orion Technologies Inc,Thailand,Electronics,Tier 3,44.5,Critical,589.5,Pending,2021-03-27,"Data security, Worker safety, Bribery & corruption, Biodiversity impact, Conflict minerals",35.13,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00014,Kestrel Trading LLP,China,Pharmaceuticals,Tier 1,77.5,Low,329.7,Pending,2023-12-17,"Diversity gap, Waste disposal",11.2,Cat 1: Purchased Goods & Services,Yes,Internal Engineering Estimate
SUP-00015,Xenon Services Co,United Kingdom,Electronics,Tier 2,64.1,Critical,1039.4,Action Plan,2024-04-17,"Forced labor risk, Effluent management, Data security, Labor practices",36.64,Cat 1: Purchased Goods & Services,No,EcoInvent v3.10
SUP-00016,Drake Engineering AG,Sri Lanka,Chemicals,Tier 2,72.2,Medium,5179.8,Compliant,2023-05-01,Tax transparency,54.66,Cat 11: Use of Sold Products,No,Internal Engineering Estimate
SUP-00017,Delta Engineering Corp,Thailand,Energy Services,Tier 1,76.1,Low,519.6,Re-audit Required,2021-02-13,Diversity gap,4.34,Cat 3: Fuel & Energy Related,No,EXIOBASE v3.8
SUP-00018,Cardinal Services LLP,France,Steel & Metals,Tier 1,70.0,Low,1225.5,Compliant,2021-05-06,"Tax transparency, Climate transition risk",11.81,Cat 1: Purchased Goods & Services,Yes,Industry Average (IEA)
SUP-00019,Nimbus Packaging Pvt Ltd,Mexico,Mining,Tier 1,95.0,Medium,1047.5,Compliant,2023-07-19,"Living wage, Bribery & corruption, Tax transparency",6.39,Cat 1: Purchased Goods & Services,No,GLEC Framework v3.0
SUP-00020,Cygnus Works Inc,Mexico,Construction,Tier 1,58.9,Medium,771.4,Re-audit Required,2022-07-11,"Waste disposal, Worker safety, Air emissions",8.88,Cat 2: Capital Goods,No,Internal Engineering Estimate
SUP-00021,Fortis Resources AG,Thailand,Agriculture,Tier 1,66.0,Medium,600.5,Pending,2021-01-26,Child labor risk,5.96,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00022,Vector Engineering SA,Germany,Manufacturing,Tier 1,51.9,High,454.9,Overdue,2022-05-09,"Labor practices, Forced labor risk, Biodiversity impact",18.24,Cat 1: Purchased Goods & Services,No,EPA Emission Factors Hub 2024
SUP-00023,Meridian Distributors AG,Germany,Chemicals,Tier 2,61.1,High,83.5,Action Plan,2023-09-03,"Ethical sourcing, Diversity gap",1.09,Cat 11: Use of Sold Products,No,EXIOBASE v3.8
SUP-00024,Helios Logistics SA,Thailand,Agriculture,Tier 2,33.2,Critical,2406.9,Pending,2024-03-12,"Air emissions, Worker safety, Forced labor risk, Diversity gap",23.91,Cat 1: Purchased Goods & Services,No,EXIOBASE v3.8
SUP-00025,Astra Holdings LLP,Brazil,Plastics & Polymers,Tier 1,74.0,High,2384.8,Action Plan,2023-03-24,"Forced labor risk, Bribery & corruption, Effluent management",28.1,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00026,Orion Trading Inc,Vietnam,Industrial Equipment,Tier 1,76.6,Low,472.0,Pending,2024-03-11,,22.56,Cat 2: Capital Goods,No,Industry Average (IEA)
SUP-00027,Delta Packaging Corp,Turkey,Transportation,Tier 1,64.2,Medium,151.4,Pending,2023-06-15,"Labor practices, Bribery & corruption",2.0,Cat 9: Downstream Transportation,Yes,EcoInvent v3.10
SUP-00028,Tempus Packaging SA,United States,Manufacturing,Tier 3,54.0,Low,269.6,Action Plan,2024-09-24,"Ethical sourcing, Conflict minerals",7.69,Cat 1: Purchased Goods & Services,No,USEEIO v2.0
SUP-00029,Fortis Industries Pvt Ltd,Saudi Arabia,Electronics,Tier 3,48.6,Medium,161.6,Pending,2021-08-13,"Child labor risk, Climate transition risk",6.23,Cat 1: Purchased Goods & Services,No,Supplier-reported (EcoVadis)
SUP-00030,Nimbus Enterprises AG,Italy,Energy Services,Tier 1,70.3,Medium,662.3,Compliant,2023-01-23,Water stress,8.1,Cat 3: Fuel & Energy Related,No,Internal Engineering Estimate
SUP-00031,Yarrow Group SA,Mexico,Plastics & Polymers,Tier 3,42.7,High,464.6,Compliant,2024-08-03,"Conflict minerals, Effluent management",5.58,Cat 11: Use of Sold Products,No,DEFRA UK 2024
