supplier_id,supplier_name,country,sector,tier,esg_score,risk_rating,emission_contribution_tco2e,audit_status,last_audit_date,key_risk_factors
SUP001,TechParts Global,China,Electronics Manufacturing,Tier 1,62,High,1250.5,Completed,2024-06-15,"Labor practices, Air pollution"
SUP002,GreenCircuit Ltd,Taiwan,Semiconductor,Tier 1,78,Medium,890.2,Completed,2024-08-20,"Water usage, E-waste"
SUP003,EcoLogistics India,India,Transportation,Tier 1,71,Medium,650.8,Completed,2024-07-10,"Fleet emissions, Road safety"
SUP004,Pacific Metals Corp,South Korea,Metal Processing,Tier 2,55,High,980.3,Overdue,2023-12-01,"Heavy metal discharge, Energy intensity"
SUP005,CleanEnergy Systems,Germany,Energy Equipment,Tier 1,88,Low,120.5,Completed,2024-09-05,Minimal
SUP006,DataCenter Services,Singapore,IT Infrastructure,Tier 1,74,Medium,520.0,Completed,2024-05-22,"Energy consumption, E-waste"
SUP007,RawMaterials Inc,Brazil,Mining,Tier 2,48,High,1450.0,In Progress,2024-03-15,"Deforestation, Water pollution, Labor"
SUP008,SmartChip Solutions,Japan,Electronics,Tier 1,82,Low,380.2,Completed,2024-08-30,"Chemical usage"
SUP009,GlobalPaper Co,Indonesia,Paper & Packaging,Tier 2,51,High,720.5,Overdue,2023-09-10,"Deforestation, Water pollution"
SUP010,PrecisionTools AG,Switzerland,Manufacturing,Tier 1,85,Low,210.3,Completed,2024-07-28,Minimal
SUP011,AsiaTextiles Ltd,Bangladesh,Textiles,Tier 2,42,High,560.8,In Progress,2024-04-12,"Labor rights, Water pollution, Fire safety"
SUP012,NordicSoft AB,Sweden,Software Services,Tier 1,92,Low,45.2,Completed,2024-09-15,Minimal
SUP013,CopperMine SA,Chile,Mining,Tier 3,53,High,880.5,Overdue,2023-06-20,"Water scarcity, Community impact"
SUP014,MegaPlastics Pvt,India,Plastics,Tier 2,58,Medium,420.0,Completed,2024-06-30,"Plastic pollution, Energy"
SUP015,SolarPanels Corp,China,Renewable Energy,Tier 1,76,Medium,280.5,Completed,2024-08-12,"Polysilicon supply chain"
SUP016,FastFreight Intl,UAE,Logistics,Tier 1,68,Medium,780.2,Completed,2024-05-18,"Fuel emissions, Labor"
SUP017,BioChemicals GmbH,Germany,Chemicals,Tier 2,73,Medium,350.8,Completed,2024-07-05,"Chemical handling, Waste"
SUP018,CloudInfra Services,USA,Cloud Computing,Tier 1,86,Low,190.0,Completed,2024-09-01,"Energy consumption"
SUP019,SteelWorks Co,India,Steel,Tier 2,50,High,1120.5,In Progress,2024-02-28,"Carbon intensity, Air pollution"
SUP020,AgriSource Ltd,Thailand,Agriculture,Tier 3,46,High,680.3,Overdue,2023-11-15,"Land use, Pesticides, Labor"
