year,quarter,scope,category,subcategory,facility,facility_type,emissions_tco2e,unit,source,methodology,verified_by,confidence
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Mumbai HQ,Office,463.752,tCO2e,Mumbai HQ — Boiler & furnace fuel logs,API Compendium 2009,ERM (reasonable),0.85
2018,Q1,Scope 1,Mobile Combustion,Fleet & Yard Vehicles,Mumbai HQ,Office,216.603,tCO2e,Mumbai HQ — Fleet fuel cards,GHG Protocol Cross-Sector,BSI (limited),0.95
2018,Q1,Scope 1,Process Emissions,Reformers & Crackers,Mumbai HQ,Office,431.724,tCO2e,Mumbai HQ — Process mass balance,API Compendium 2009,DNV (limited),0.87
2018,Q1,Scope 1,Fugitive Emissions,LDAR & Refrigerants,Mumbai HQ,Office,139.194,tCO2e,Mumbai HQ — LDAR programme,CEA Grid Factor v20.0,ERM (reasonable),0.79
2018,Q1,Scope 2,Purchased Electricity,Grid + PPA,Mumbai HQ,Office,675.921,tCO2e,Mumbai HQ — DISCOM utility bills,EPA Emission Factors Hub 2024,TUV Nord (limited),0.96
2018,Q1,Scope 2,Purchased Steam,Industrial Utilities,Mumbai HQ,Office,121.448,tCO2e,Mumbai HQ — Steam supply contract,GHG Protocol Cross-Sector,TUV Nord (limited),0.91
2018,Q1,Scope 3,Business Travel,"Air, Hotel & Rail",Mumbai HQ,Office,58.437,tCO2e,Mumbai HQ — Concur travel exports,GLEC Framework 3.0,TUV Nord (limited),0.89
2018,Q1,Scope 3,Employee Commuting,Commuter Survey-derived,Mumbai HQ,Office,93.783,tCO2e,Mumbai HQ — Annual commuter survey,EPA Emission Factors Hub 2024,TUV Nord (reasonable),0.8
2018,Q1,Scope 3,Purchased Goods,Raw & Packaging,Mumbai HQ,Office,422.22,tCO2e,Mumbai HQ — Supplier invoice EEIO,DEFRA UK 2024,TUV Nord (reasonable),0.81
2018,Q1,Scope 3,Logistics & Transport,Inbound & Outbound,Mumbai HQ,Office,253.361,tCO2e,Mumbai HQ — 3PL freight ledgers,DEFRA UK 2024,ERM (reasonable),0.95
2018,Q1,Scope 3,Capital Goods,"Plant, Equipment, Build",Mumbai HQ,Office,141.522,tCO2e,Mumbai HQ — Project capex registers,CEA Grid Factor v20.0,BSI (limited),0.92
2018,Q1,Scope 3,End-of-life Treatment,Plastics & Hazardous,Mumbai HQ,Office,107.084,tCO2e,Mumbai HQ — Waste contractor data,IPCC 2006 Tier-1,Internal — EHS team,0.91
2018,Q1,Scope 1,Stationary Combustion,Boilers & Furnaces,Hazira Refinery,Refinery,5647.225,tCO2e,Hazira Refinery — Boiler & furnace fuel logs,DEFRA UK 2024,DNV (limited),0.81
