year,quarter,energy_source,consumption_mwh,cost_inr_lakhs,location,renewable
2023,Q1,Grid Electricity,8500,425.0,Mumbai HQ,No
2023,Q1,Solar Rooftop,1200,0.0,Mumbai HQ,Yes
2023,Q1,Diesel Generator,350,52.5,Mumbai HQ,No
2023,Q1,Grid Electricity,2800,140.0,Bangalore Office,No
2023,Q1,Solar Rooftop,450,0.0,Bangalore Office,Yes
2023,Q2,Grid Electricity,9200,460.0,Mumbai HQ,No
2023,Q2,Solar Rooftop,1450,0.0,Mumbai HQ,Yes
2023,Q2,Diesel Generator,280,42.0,Mumbai HQ,No
2023,Q2,Grid Electricity,3100,155.0,Bangalore Office,No
2023,Q2,Solar Rooftop,520,0.0,Bangalore Office,Yes
2023,Q3,Grid Electricity,9800,490.0,Mumbai HQ,No
2023,Q3,Solar Rooftop,1600,0.0,Mumbai HQ,Yes
2023,Q3,Diesel Generator,200,30.0,Mumbai HQ,No
2023,Q3,Grid Electricity,3300,165.0,Bangalore Office,No
2023,Q3,Solar Rooftop,580,0.0,Bangalore Office,Yes
2023,Q4,Grid Electricity,8200,410.0,Mumbai HQ,No
2023,Q4,Solar Rooftop,1100,0.0,Mumbai HQ,Yes
2023,Q4,Diesel Generator,320,48.0,Mumbai HQ,No
2023,Q4,Grid Electricity,2600,130.0,Bangalore Office,No
2023,Q4,Solar Rooftop,400,0.0,Bangalore Office,Yes
2024,Q1,Grid Electricity,7800,390.0,Mumbai HQ,No
2024,Q1,Solar Rooftop,1500,0.0,Mumbai HQ,Yes
2024,Q1,Diesel Generator,250,37.5,Mumbai HQ,No
2024,Q1,Grid Electricity,2500,125.0,Bangalore Office,No
2024,Q1,Solar Rooftop,600,0.0,Bangalore Office,Yes
2024,Q2,Grid Electricity,8500,425.0,Mumbai HQ,No
2024,Q2,Solar Rooftop,1800,0.0,Mumbai HQ,Yes
2024,Q2,Diesel Generator,180,27.0,Mumbai HQ,No
2024,Q2,Grid Electricity,2800,140.0,Bangalore Office,No
2024,Q2,Solar Rooftop,700,0.0,Bangalore Office,Yes
2024,Q3,Grid Electricity,9000,450.0,Mumbai HQ,No
2024,Q3,Solar Rooftop,2000,0.0,Mumbai HQ,Yes
2024,Q3,Diesel Generator,150,22.5,Mumbai HQ,No
2024,Q3,Grid Electricity,3000,150.0,Bangalore Office,No
2024,Q3,Solar Rooftop,780,0.0,Bangalore Office,Yes
2024,Q4,Grid Electricity,7500,375.0,Mumbai HQ,No
2024,Q4,Solar Rooftop,1700,0.0,Mumbai HQ,Yes
2024,Q4,Diesel Generator,200,30.0,Mumbai HQ,No
2024,Q4,Grid Electricity,2400,120.0,Bangalore Office,No
2024,Q4,Solar Rooftop,650,0.0,Bangalore Office,Yes
