fiscal_period,event_type,capex_climate,opex_climate,impairment_amount,insurance_recovery,affected_asset_id,gl_account,scenario_tag,description,approver,supporting_doc,currency,narrative
FY2014-Q1,Transition,20.36,4.47,0,0.0,Kolkata Distribution,GL-1100-CapEx,RCP4.5,EV Fleet Conversion,Treasurer,CFI-FY2014-Q1-241988.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,6.03,1.33,0,0.0,Kandla Terminal,GL-7400-OpEx,RCP2.6,EV Fleet Conversion,CFO,CFI-FY2014-Q1-501248.pdf,INR Crore,One-off impairment driven by NGFS-aligned scenario refresh.
FY2014-Q1,Chronic,0.03,3.1,0,0.0,Kochi Tankage,GL-4100-Impair,IEA-APS,Drought — Water Sourcing Cost,Plant FC,CFI-FY2014-Q1-367220.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,1.49,12.52,0,0.0,Hyderabad Distribution,GL-1200-CapEx,NGFS-DelayedTransition,Carbon Tax Provision (India),Plant FC,CFI-FY2014-Q1-733498.pdf,INR Crore,Carbon-tax pass-through booked against centrally-managed provision.
FY2014-Q1,Transition,5.89,3.66,0,0.0,Bhubaneswar Office,GL-3500-OpEx,RCP4.5,Renewable PPA — Long-term Contract,Audit Committee,CFI-FY2014-Q1-168170.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Transition,38.57,0.19,0,0.0,Bengaluru Tech Park,GL-1100-CapEx,NGFS-NetZero2050,Plant Decommissioning — Coal,CFO,CFI-FY2014-Q1-856057.pdf,INR Crore,PPA contract signed; lifetime opex offset to be amortised straight-line.
FY2014-Q1,Transition,22.32,4.76,0,0.0,Jamnagar Polymer Plant,GL-2400-OpEx,RCP4.5,Renewable PPA — Long-term Contract,Plant FC,CFI-FY2014-Q1-618311.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Transition,18.45,3.84,0,0.0,Hyderabad Catalysis Lab,GL-3500-OpEx,NGFS-NetZero2050,Green Hydrogen Pilot Plant,Group FC,CFI-FY2014-Q1-634815.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Transition,0,0,105.46,0.0,Vadodara Chemicals,GL-4100-Impair,NGFS-NetZero2050,Stranded Asset Impairment — Refinery,Group FC,CFI-FY2014-Q1-921116.pdf,INR Crore,Insurance receivable accrued; cash recovery expected in next quarter.
FY2014-Q1,Acute,0.23,2.34,0,0.25,Haldia Petchem,GL-4100-Impair,IEA-APS,Heatwave — Cooling Surge,Plant FC,CFI-FY2014-Q1-596424.pdf,INR Crore,Routine opex tagged climate-related per IFRS S2 paragraph 22.
FY2014-Q1,Transition,19.76,2.93,0,0.0,Delhi Sales Hub,GL-7400-OpEx,RCP4.5,EV Fleet Conversion,Audit Committee,CFI-FY2014-Q1-648202.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Acute,0.68,4.33,0,0.51,Bhubaneswar Office,GL-8500-OpEx,NGFS-DivergentNetZero,Cyclone Damage — Coastal Plant,Controller,CFI-FY2014-Q1-914970.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
FY2014-Q1,Chronic,0.33,6.76,0,0.0,Jamnagar Polymer Plant,GL-6300-OpEx,RCP2.6,Rising Avg Temp — Cooling Demand,Controller,CFI-FY2014-Q1-301081.pdf,INR Crore,Pilot facility commissioned; depreciation begins next period.
FY2014-Q1,Acute,0.91,32.16,0,6.55,Indore Distribution,GL-2400-OpEx,NGFS-DelayedTransition,Flood — Plant Shutdown,Group FC,CFI-FY2014-Q1-483572.pdf,INR Crore,Climate-stress test triggered re-measurement of carrying value.
FY2014-Q1,Transition,15.29,0.37,0,0.0,Bhubaneswar Office,GL-8500-OpEx,NGFS-NetZero2050,EV Fleet Conversion,Plant FC,CFI-FY2014-Q1-704872.pdf,INR Crore,Adaptation capex tied to multi-year transition plan submitted to board.
